 Name                      Version   License                               
 Django                    5.2.6     BSD License                           
 Willow                    1.11.0    BSD License                           
 anyascii                  0.3.3     ISC License (ISCL)                    
 asgiref                   3.9.2     BSD License                           
 beautifulsoup4            4.14.2    MIT License                           
 build                     1.3.0     MIT License                               
 certifi                   2025.8.3  Mozilla Public License 2.0 (MPL 2.0)  
 charset-normalizer        3.4.3     MIT                                   
 click                     8.3.0     BSD-3-Clause                               
 defusedxml                0.7.1     Python Software Foundation License    
 django-filter             25.1      BSD License                           
 django-modelcluster       6.4       BSD License                           
 django-permissionedforms  0.1       BSD License                           
 django-stubs-ext          5.2.5     MIT License                               
 django-taggit             6.1.0     BSD License                           
 django-tasks              0.8.1     BSD-3-Clause                               
 django-treebeard          4.7.1     Apache Software License               
 djangorestframework       3.16.1    BSD License                           
 draftjs_exporter          5.1.0     MIT License                           
 et_xmlfile                2.0.0     MIT License                           
 filetype                  1.2.0     MIT License                           
 idna                      3.10      BSD License                           
 laces                     0.1.2     BSD License                           
 openpyxl                  3.1.5     MIT License                           
 packaging                 25.0      Apache Software License; BSD License  
 pillow                    11.3.0    MIT-CMU License                               
 pillow_heif               1.1.1     GNU General Public License v2 (GPLv2) 
 pip-tools                 7.5.0     BSD License                           
 pyproject_hooks           1.2.0     MIT License                           
 requests                  2.32.5    Apache Software License               
 soupsieve                 2.8       MIT License                           
 sqlparse                  0.5.3     BSD License                           
 telepath                  0.3.1     BSD License                           
 typing_extensions         4.15.0    PSF-2.0                               
 urllib3                   2.5.0     MIT License                               
 wagtail                   7.1.1     BSD-3-Clause                               
